meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Championships - Fukuoka 2023,58.72,24/07/2023,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,107,107,908,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,58.72,24/07/2023,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,107,108,908,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,58.72,24/07/2023,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,107,109,908,Fukuoka,JPN
Olympic Games Tokyo 2020,58.72,25/07/2021,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,107,110,908,Tokyo,JPN
56th International Trophy Sette Colli,58.72,21/06/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,107,111,919,Rome,ITA
54th International Trophy Sette Colli,58.72,23/06/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,107,112,920,Rome,ITA
Italian National Championships (50m),58.73,14/04/2023,Men 100 Breaststroke LCM Male,ITA,Italy,"POGGIO, Federico",M,24/04/1998,,,113,113,908,Riccione,ITA
US Olympic Team Trials - Wave II,58.73,14/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,113,114,908,Omaha,USA
Chinese National Championships (50m),58.73,28/09/2020,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,113,115,908,Qingdao,CHN
FINA Swimming World Cup 2019,58.73,02/08/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,113,116,919,Tokyo,JPN
Edinburgh International Swim Meet,58.73,16/03/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,113,117,919,Edinburgh,GBR
World Aquatics Championships - Fukuoka 2023,58.74,23/07/2023,Men 100 Breaststroke LCM Male,GER,Germany,"MATZERATH, Lucas",M,03/05/2000,,,118,118,907,Fukuoka,JPN
US Olympic Team Trials - Wave II,58.74,14/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,16/09/1993,,,118,119,907,Omaha,USA
European Championships 2021,58.74,17/05/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,118,120,907,Budapest,HUN
Mission Viejo Swim Meet of Champions,58.74,23/06/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,118,121,918,Mission Viejo,USA
US National Championships (50m),58.74,30/06/2017,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,13/08/1993,,,118,122,920,Indianapolis,USA
European Championships 2016,58.74,16/05/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,118,123,958,London,GBR
British Championships 2016,58.74,12/04/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,118,124,958,Glasgow,GBR
